Date,KCalories,Fat..g.,X.Of.Fat..Saturated.Fat..g..,X.Of.Fat..Polyunsaturated.Fat..g..,X.Of.Fat..Monounsaturated.Fat..g..,X.Of.Fat..Trans.Fat..g..,Carbohydrates..g.,X.Of.Carbs..Fiber..g..,X.Of.Carbs..Sugar..g..,Protein..g.,Cholesterol..mg.,Sodium..mg.,Potassium..mg.,Vitamin.A,Vitamin.C,Calcium,Iron,Morning.Weight..lbs.,ExerciseHours,fat.percent,carb.percent,protein.percent,total.percent
4/17/2018,1306,108.3,44.5,36,8.8,0,24.8,14.2,6.6,68.5,813,1300,1306,259,509,152,67,,0,0.723124861,0.073595964,0.203279175,1.032082695
4/18/2018,2247,166,67.4,22.2,16.3,0,70.3,16.4,15.3,117.4,1152,2409,1748,626,787,77,106,,0,0.665538133,0.125267284,0.209194583,0.999020917
4/19/2018,3848,298,90.1,32,47.5,1.4,106.5,36.2,25.7,199.2,1317,4873,3578,482,842,183,149,,0,0.686846958,0.109096497,0.204056546,1.014760915
4/20/2018,3635,285.2,101.6,43,39.1,1.9,81.6,41.2,17.7,195.4,1251,6690,3188,376,513,375,155,,1.5,0.698486992,0.08882116,0.212691847,1.010949106
4/21/2018,3630,279.8,115.3,51.5,50.2,4.6,84.1,23.9,27.9,202.9,1380,5222,4014,360,524,332,148,,1.5,0.686869238,0.091757133,0.221373629,1.009972452
4/22/2018,2542,194.4,81.8,30.5,5.8,0,53.3,20.7,25.6,144,1133,2394,1965,375,599,227,80,,0,0.689144478,0.083976682,0.22687884,0.998741149
4/23/2018,1856,160.1,61.7,18,2.5,0,52,11.5,9.3,60.5,961,1406,500,494,571,30,60,,0,0.762018087,0.110000529,0.127981385,1.018803879
4/24/2018,2909,232.1,77.3,24.3,44.3,1.9,53.3,17.8,12.6,155,1171,2482,1911,537,629,76,102,,0,0.714862599,0.072961227,0.212176175,1.004503266
4/25/2018,3516,286,132.6,26.8,18.5,1.4,91.7,26.4,24.3,157.5,1094,3928,2317,311,726,165,111,,0,0.720846869,0.102722079,0.176431052,1.015585893
4/26/2018,3210,241,74.1,41.6,15.3,0,95.2,38.2,35.2,172.7,1135,6269,3683,416,928,245,139,,0,0.669320496,0.117509103,0.213170401,1.00953271
4/27/2018,3594,288.4,113.2,36.7,38.4,1.4,81,29.2,17.2,163,1306,4780,3499,408,610,349,139,,1.5,0.726733117,0.090715646,0.182551238,0.99376739
4/28/2018,3666,286.2,128.3,32.9,20.1,1.9,82.3,29.4,23.5,196.7,1233,3760,3044,657,630,300,145,,1.5,0.697708435,0.089170594,0.213120971,1.007037643
4/29/2018,3443,275.6,110.3,41,20.8,0,90.8,36.9,19.3,174.8,1168,5197,2745,332,383,338,152,,1,0.700124196,0.102517783,0.197358022,1.028986349
4/30/2018,2951,249.5,85.9,32.3,12.2,0,62.6,21.5,9.3,131.3,1096,3172,1917,409,505,255,112,,1,0.743272318,0.082883718,0.173843964,1.023754659
5/1/2018,2907,242.6,67.5,39.7,35.3,1.4,60.1,33.2,11,146.3,955,2981,2331,374,526,301,158,,0,0.725623131,0.079893652,0.194483217,1.035087719
5/2/2018,3227,267.9,98.8,39,24.5,1.4,67.5,32.8,16.4,160.6,1099,4010,2771,378,618,327,150,,0,0.725470137,0.081239657,0.193290206,1.029903936
5/3/2018,2982,254.6,84.1,37,10.8,0,53.2,27.5,10.2,132.5,1585,2858,1813,402,566,266,126,,0,0.755190825,0.070133808,0.174675367,1.01750503
